"Belegdatum";"Buchungsdatum";"Belegnummernkreis";"Belegnummer";"Buchungstext";"Buchungsbetrag";"Sollkonto";"Habenkonto";"Steuerschlüssel";"Kostenstelle 1";"Kostenstelle 2";"Buchungsbetrag DM";"Buchungsbetrag Euro";"Währung"
01.04.2019;01.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
01.04.2019;01.04.2019;"";-;"Bundesagentur für Arbeit-Service-Ha us EGZ fuer Shpakova, Maria 5603575550 1/2700032836769  56035755501 0401000487001";1440,00;1200;;0;"";"";1440,00;1440,00;EUR;
01.04.2019;01.04.2019;"";-;" AZCS9091039813 00  ADMIXER LIMITED IMMERMANSTRASSE 7 DUSSELDORF, 40210, GERMANY  APPNEXUS, INC 28 W 23RD ST. 4TH FLOOR NEW YORK, NY 10010 3300866935  S006953 AZCS9091039813";296,58;1210;;0;"";"";296,58;296,58;EUR;
02.04.2019;02.04.2019;"";-;" AZCS9091006594 00 PL41103011880000000091828022  CODEWISE SP. Z O. O. SP. K UL. LUBICZ 17G 31-503 KRAKOW PL41103011880000000091828022  INV USD20190228-28";299,11;1210;;0;"";"";299,11;299,11;EUR;
03.04.2019;03.04.2019;"";-;" AZCS9093030022 00  ADMIXER UA LLC     DC281217 DD 2 8.12.17,  PR OVIDEESS TO TECHNICAL AND FUNCT IONAL CAPABILITIES OF SYSTEM";51464,24;1200;;0;"";"";51464,24;51464,24;EUR;
03.04.2019;03.04.2019;"";-;" AZCS9093059095 00  KONIGSALLEE DUSSELDORF GERMANY  AMLI MEDIA PRIVATE LIMITED NO 811 10TH A MN SUITE 456 1ST FLOOR INDIRANAGAR BANGALORE INDIA 50200027800345  TWDS  INV NO 20190131 18";600,38;1210;;0;"";"";600,38;600,38;EUR;
04.04.2019;04.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,50;4970;1200;0;"";"";102,50;102,50;EUR;
04.04.2019;04.04.2019;"";-;" AZCS9094052236 00  ADMIXER UA LLC 2/13ZH PYMONENKA STR., 2ND BUILD 3/UA/KYIV, 04050, 26003572384    FB291217 DD 29.12.17,  PROVIDEESS TO TECHNICAL AND FUNCTIONAL CAPABILITIES OF SYSTEM";119229,55;1210;;0;"";"";119229,55;119229,55;EUR;
05.04.2019;05.04.2019;"";-;"ADXCLUSIVE B.V. EURO20190404 1 INV NO  0405000965001";19000,00;1200;;0;"";"";19000,00;19000,00;EUR;
05.04.2019;05.04.2019;"";-;"Differenzbetrag USD-Ueberweisung vom EUR-Konto Abrechnung-ID 42105890111678EK";487,55;1200;;0;"";"";487,55;487,55;EUR;
